[2018-05-26 12:00:14,210] [ERROR] Non-ASCII character '\xe9' in file D:\nginx\nginx-1.14.0\AiTeDeLian-master\IT_show\show\models.py on line 7, but no encoding declared; see http://python.org/dev/peps/pep-0263/ for details (models.py, line 7)
[2018-05-26 12:05:48,897] [ERROR] Non-ASCII character '\xe5' in file D:\nginx\nginx-1.14.0\AiTeDeLian-master\IT_show\show\admin.py on line 8, but no encoding declared; see http://python.org/dev/peps/pep-0263/ for details (admin.py, line 8)
[2018-06-04 16:27:18,989] [INFO] "GET /admin HTTP/1.0" 301 0
[2018-06-04 16:28:19,143] [INFO] "GET /admin/ HTTP/1.0" 302 0
[2018-06-04 16:28:19,782] [INFO] "GET /admin/login/?next=/admin/ HTTP/1.0" 200 1652
[2018-06-04 16:28:19,848] [INFO] "GET /static/admin/css/base.css HTTP/1.0" 200 16066
[2018-06-04 16:28:19,883] [INFO] "GET /static/admin/css/login.css HTTP/1.0" 200 1203
[2018-06-04 16:28:19,901] [INFO] "GET /static/admin/css/fonts.css HTTP/1.0" 200 423
[2018-06-04 16:28:52,145] [INFO] "GET /admin HTTP/1.0" 301 0
[2018-06-04 16:28:52,331] [INFO] "GET /admin/ HTTP/1.0" 302 0
[2018-06-04 16:29:52,437] [INFO] "GET /admin/login/?next=/admin/ HTTP/1.0" 200 1652
[2018-06-04 16:29:52,561] [INFO] "GET /static/admin/css/base.css HTTP/1.0" 200 16066
[2018-06-04 16:29:52,654] [INFO] "GET /static/admin/css/login.css HTTP/1.0" 200 1203
[2018-06-04 16:29:52,779] [INFO] "GET /static/admin/css/fonts.css HTTP/1.0" 200 423
[2018-06-04 18:24:40,903] [WARNING] Not Found: /
[2018-06-04 18:24:40,907] [WARNING] "GET / HTTP/1.1" 404 2123
[2018-06-04 18:24:41,019] [WARNING] Not Found: /favicon.ico
[2018-06-04 18:24:41,022] [WARNING] "GET /favicon.ico HTTP/1.1" 404 2174
[2018-06-04 18:24:45,398] [INFO] "GET /admin HTTP/1.1" 301 0
[2018-06-04 18:24:45,772] [INFO] "GET /admin/ HTTP/1.1" 302 0
[2018-06-04 18:24:45,980] [INFO] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1652
[2018-06-04 18:24:46,009] [INFO] "GET /static/admin/css/base.css HTTP/1.1" 200 16066
[2018-06-04 18:24:46,307] [INFO] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[2018-06-04 18:24:46,346] [INFO] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[2018-06-04 18:24:46,692] [INFO] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[2018-06-04 18:24:46,699] [INFO] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[2018-06-04 18:25:08,811] [WARNING] Not Found: /
[2018-06-04 18:25:08,814] [WARNING] "GET / HTTP/1.1" 404 2123
[2018-06-04 18:25:08,924] [WARNING] Not Found: /favicon.ico
[2018-06-04 18:25:08,926] [WARNING] "GET /favicon.ico HTTP/1.1" 404 2174
[2018-06-04 18:25:28,055] [WARNING] Not Found: /
[2018-06-04 18:25:28,058] [WARNING] "GET / HTTP/1.1" 404 2129
[2018-06-04 18:25:28,269] [WARNING] Not Found: /favicon.ico
[2018-06-04 18:25:28,272] [WARNING] "GET /favicon.ico HTTP/1.1" 404 2180
[2018-06-04 18:25:30,777] [INFO] "GET /admin HTTP/1.1" 301 0
[2018-06-04 18:25:30,793] [INFO] "GET /admin/ HTTP/1.1" 302 0
[2018-06-04 18:25:30,838] [INFO] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1652
[2018-06-04 18:25:30,861] [INFO] "GET /static/admin/css/base.css HTTP/1.1" 200 16066
[2018-06-04 18:25:30,871] [INFO] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[2018-06-04 18:25:31,230] [INFO] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[2018-06-04 18:25:31,268] [INFO] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[2018-06-04 18:25:31,278] [INFO] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[2018-06-04 18:32:20,829] [WARNING] Not Found: /
[2018-06-04 18:32:20,949] [WARNING] Not Found: /favicon.ico
[2018-06-04 18:38:32,892] [WARNING] Not Found: /
[2018-06-04 18:38:33,030] [WARNING] Not Found: /favicon.ico
[2018-06-04 18:50:36,180] [WARNING] Not Found: /
[2018-06-04 18:50:36,296] [WARNING] Not Found: /favicon.ico
[2018-06-04 19:46:33,399] [WARNING] Not Found: /static/admin/css/dashboard.css
[2018-06-04 19:46:38,135] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:46:46,815] [WARNING] Not Found: /static/admin/css/dashboard.css
[2018-06-04 19:46:49,294] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:46:51,953] [WARNING] Not Found: /static/admin/css/dashboard.css
[2018-06-04 19:47:10,689] [WARNING] Not Found: /static/admin/css/forms.css
[2018-06-04 19:47:14,390] [WARNING] Not Found: /static/admin/css/dashboard.css
[2018-06-04 19:47:16,914] [WARNING] Not Found: /static/admin/css/forms.css
[2018-06-04 19:47:18,561] [WARNING] Not Found: /static/admin/css/dashboard.css
[2018-06-04 19:47:21,506] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:47:25,421] [WARNING] Not Found: /static/admin/css/forms.css
[2018-06-04 19:51:18,032] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:51:20,596] [WARNING] Not Found: /static/admin/css/dashboard.css
[2018-06-04 19:51:21,899] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:54:15,699] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:54:16,744] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:54:17,688] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:55:20,208] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:56:09,635] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:57:28,364] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 19:57:28,373] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 19:57:28,381] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 19:57:28,390] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 19:57:28,399] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 19:57:28,492] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 19:57:29,536] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 19:57:29,562] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 19:57:29,562] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 19:57:29,566] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 19:57:29,581] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 19:57:29,584] [WARNING] Not Found: /static/admin/img/search.svg
[2018-06-04 19:57:29,585] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 19:57:29,605] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 19:57:29,900] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 19:57:29,921] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 19:57:29,956] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
[2018-06-04 19:57:29,981] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 19:57:29,981] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 19:57:29,988] [WARNING] Not Found: /static/admin/fonts/Roboto-Bold-webfont.woff
[2018-06-04 20:10:11,023] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:10:11,145] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:10:11,236] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:10:11,275] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:10:11,640] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:10:12,189] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:10:12,208] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:10:12,289] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:10:12,557] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:10:12,626] [WARNING] Not Found: /static/admin/img/search.svg
[2018-06-04 20:10:12,635] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:10:12,670] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:10:12,688] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:10:12,722] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:10:12,755] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:10:12,779] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:10:12,806] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:10:12,840] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:10:12,867] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
[2018-06-04 20:10:12,868] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 20:10:12,876] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 20:10:12,877] [WARNING] Not Found: /static/admin/fonts/Roboto-Bold-webfont.woff
[2018-06-04 20:12:50,669] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:12:50,680] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:12:50,682] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:12:50,689] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:12:50,693] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:12:50,702] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:12:50,710] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:12:50,711] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:12:50,721] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:12:50,740] [WARNING] Not Found: /static/admin/img/search.svg
[2018-06-04 20:12:50,761] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:12:50,791] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:12:50,832] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:12:50,852] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:12:50,891] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:12:50,921] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:12:50,953] [WARNING] Not Found: /static/admin/js/prepopulate.js
